Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Estimates Start After,
Austria,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: Yes Base year: 2005 Primary domestic currency: Euro Data last updated: 09/2024,79.534,82.106,84.332,85.691,87.209,88.226,88.947,89.406,91.155,93.253,94.821,96.055,97.941,100.000,101.686,103.923,107.280,107.715,109.537,113.417,116.330,118.794,120.535,121.511,122.692,125.426,128.088,2023,
Belgium,"Inflation, average consumer prices",Index,Units,Source: Central Bank Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2024,65.170,66.791,68.390,69.255,70.474,71.531,72.175,72.993,74.951,76.778,77.970,79.153,80.623,82.669,84.596,86.135,90.003,89.999,92.095,95.175,97.669,98.892,99.381,100.000,101.774,104.036,106.438,2023,
Croatia,"Inflation, average consumer prices",Index,Units,"Source: National Statistics Office. By the former Central Bureau of Statistics of the Republic of Croatia (CroStat), now the Croatian Bureau of Statistics (CBS, www.dzs.hr). Latest actual data: 2023 Notes: The CPI follows the recommendations laid down in the ILO's Consumer Price Index Manual: Theory and Practices (2004) and the relevant EU regulations relevant to harmonized indices of consumer prices (HICP). The authorities produce data from 1995 only; Earlier data for prices result from splicing. Harmonized prices: No Base year: 2015. Since January 2016, the compilation of the CPIs has been based on the weights derived from the household expenditures from the 2014 Household Budget Survey which were updated to December 2015 prices. Primary domestic currency: Euro Data last updated: 09/2024",1.704,27.583,54.478,55.547,57.571,59.707,63.712,66.270,69.322,72.275,74.107,75.884,77.511,79.833,82.458,84.650,89.563,91.555,92.547,94.592,97.763,100.038,100.258,100.001,99.371,100.665,102.233,2023,
Cyprus,"Inflation, average consumer prices",Index,Units,Source: Haver. Haver seasonally adjusts non-seasonally adjusted Eurostat Data. Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2024,57.816,60.642,63.468,65.126,66.808,69.018,70.631,71.433,74.903,76.393,78.517,81.640,83.188,84.873,86.784,88.668,92.556,92.723,95.095,98.406,101.445,101.831,101.558,99.993,98.777,99.451,100.228,2023,
Estonia,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2024,n/a,20.035,29.583,38.163,45.697,49.952,54.338,56.022,58.224,61.500,63.707,64.590,66.553,69.293,72.372,77.253,85.447,85.617,87.963,92.432,96.332,99.459,99.933,100.000,100.800,104.480,108.045,2023,
Finland,"Inflation, average consumer prices",Index,Units,"Source: National Statistics Office. Eurostat, downloaded through Haver Analytics Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2024",67.369,69.610,70.733,71.015,71.770,72.643,73.623,74.588,76.789,78.836,80.418,81.456,81.576,82.208,83.256,84.574,87.886,89.322,90.828,93.847,96.814,98.959,100.156,100.000,100.389,101.232,102.415,2023,
France,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 10/2024,69.395,70.945,72.128,73.403,74.930,75.879,76.393,76.832,78.226,79.622,81.165,82.926,84.863,86.465,88.102,89.518,92.347,92.440,94.047,96.198,98.329,99.303,99.912,99.998,100.304,101.473,103.604,2023,
Germany,"Inflation, average consumer prices",Index,Units,"Source: National Statistics Office Latest actual data: 2023 Notes: Data until 1990 refers to German federation only (West Germany). Data from 1991 refer to United Germany. Harmonized prices: Yes. Until 1995 Consumer Price Index Annual Average, from 1996 and onwards harmonized Consumer Price Index Annual Average. Base year: 2015 Primary domestic currency: Euro Data last updated: 10/2024",68.496,71.562,73.507,74.780,75.733,76.875,77.333,77.833,78.933,80.433,81.500,82.375,83.842,85.458,86.975,88.950,91.400,91.625,92.650,94.950,97.000,98.558,99.317,99.992,100.358,102.067,104.042,2023,
Greece,"Inflation, average consumer prices",Index,Units,"Source: National Statistics Office. Formally, the National Statistical Office (ELSTAT) Latest actual data: 2023 Harmonized prices: Yes Base year: 2005 Primary domestic currency: Euro Data last updated: 09/2024",48.825,55.861,61.935,67.378,72.682,76.637,80.099,81.814,84.184,87.249,90.671,93.799,96.631,100.000,103.314,106.402,110.903,112.397,117.684,121.354,122.609,121.562,119.868,118.557,118.573,119.922,120.851,2023,
Ireland,"Inflation, average consumer prices",Index,Units,Source: National Statistics Office. Central Statistical Office of Ireland (CSO) Latest actual data: 2023 Harmonized prices: Yes Base year: 2015 Primary domestic currency: Euro Data last updated: 09/2024,63.586,64.487,66.013,67.675,69.150,70.017,71.508,73.233,77.117,80.200,83.958,87.317,89.333,91.300,93.742,96.450,99.458,97.792,96.192,97.358,99.200,99.733,100.033,99.983,99.800,100.058,100.775,2023,
